sku,nombre,descripcion_corta,precio_costo,precio_venta,stock,categoria_slug,estado
AZ031,Árbol de Navidad 1.50 MT,Árbol de navidad artificial de 1.50 metros de altura. Ideal para espacios pequeños.,,99000,,decoracion,activo
AZ032,Árbol de Navidad 1.80 MT,Árbol de navidad artificial de 1.80 metros de altura.,,140000,,decoracion,activo
AZ033,Árbol de Navidad 2.10 MT,Árbol de navidad artificial de 2.10 metros de altura.,,215000,,decoracion,activo
SA12,Árbol de Navidad Premium 1.80 MT,Árbol de navidad premium de 1.80 metros de altura. Alta densidad de ramas.,,410000,,decoracion,activo
SA13,Árbol de Navidad Premium 2.10 MT,Árbol de navidad premium de 2.10 metros de altura. Alta densidad de ramas.,,630000,,decoracion,activo
SA14,Árbol de Navidad Premium 2.40 MT,Árbol de navidad premium de 2.40 metros de altura. Alta densidad de ramas.,,980000,,decoracion,activo
SA15,Árbol de Navidad Nevado 2.40 MT,Árbol de navidad nevado de 2.40 metros de altura. Efecto nieve en las puntas.,,305000,,decoracion,activo
SA08,Árbol Nevado 180 CMS 250 Luces,Árbol de navidad nevado de 180 cm con 250 luces integradas.,,500000,,decoracion,activo
SF01,Árbol Nevado con Luces 210 CMS,Árbol de navidad nevado con luces integradas de 210 cm de altura.,,790000,,decoracion,activo
SF02,Árbol Nevado con Luces 150 CMS,Árbol de navidad nevado con luces integradas de 150 cm de altura.,,290000,,decoracion,activo
AV002,Árbol Navidad Azul/Blanco 1.50 MT,Árbol de navidad decorado tonos azul y blanco de 1.50 metros.,,250000,,decoracion,activo
AV003,Árbol Navidad Azul/Blanco 1.80 MT,Árbol de navidad decorado tonos azul y blanco de 1.80 metros.,,290000,,decoracion,activo
AV004,Árbol Navidad Azul/Blanco 2.10 MT,Árbol de navidad decorado tonos azul y blanco de 2.10 metros.,,385000,,decoracion,activo
AV005,Árbol Navidad Azul/Blanco 2.40 MT,Árbol de navidad decorado tonos azul y blanco de 2.40 metros.,,505000,,decoracion,activo
AZ577,Árbol de Navidad Nevado Premium,Árbol de navidad nevado de gran tamaño con acabado premium.,,990000,,decoracion,activo
SA16,Árbol de Navidad 2.70 MT,Árbol de navidad artificial de 2.70 metros de altura.,,750000,,decoracion,activo
AZ037,Árbol de Navidad Mini 60 CMS,Árbol de navidad decorativo miniatura de 60 cm. Perfecto para escritorios y mesas.,,25000,,decoracion,activo
AZ038,Árbol de Navidad Mini 90 CMS,Árbol de navidad decorativo de 90 cm. Ideal para espacios reducidos.,,37000,,decoracion,activo
AZ108,Árbol Luminoso 150 CM 120 Luces Cálidas,Árbol luminoso de 150 cm con 120 luces cálidas integradas. Efecto árbol iluminado.,,130000,,decoracion,activo
AZ109,Árbol Luminoso 180 CM 180 Luces Cálidas,Árbol luminoso de 180 cm con 180 luces cálidas integradas.,,170000,,decoracion,activo
AZ110,Árbol Luminoso Dorado 150 CM 120 Luces,Árbol luminoso dorado de 150 cm con 120 luces cálidas. Diseño elegante.,,140000,,decoracion,activo
AZ111,Árbol Luminoso Dorado 180 CM 190 Luces,Árbol luminoso dorado de 180 cm con 190 luces cálidas integradas.,,190000,,decoracion,activo
AZ115,Árbol Luminoso 45 CM 108 Luces Cálidas,Árbol luminoso decorativo de 45 cm con 108 luces cálidas. Mini árbol iluminado.,,40000,,decoracion,activo
AZ034,Árbol de Navidad Delgado 150 CMS,Árbol de navidad tipo lápiz (delgado) de 150 cm. Ideal para espacios pequeños.,,80000,,decoracion,activo
AZ035,Árbol de Navidad Delgado 180 CMS,Árbol de navidad tipo lápiz (delgado) de 180 cm.,,115000,,decoracion,activo
AZ036,Árbol de Navidad Delgado 210 CMS,Árbol de navidad tipo lápiz (delgado) de 210 cm.,,199000,,decoracion,activo
AZ041,Árbol de Navidad Colgante 70 CMS,Árbol de navidad decorativo colgante de 70 cm. Diseño original.,,20000,,decoracion,activo
AZ103,Árbol Luminoso 150 CMS 144 Luces Cálidas,Árbol luminoso de 150 cm con 144 luces cálidas. Alta densidad de iluminación.,,130000,,decoracion,activo
SA02,Árbol de Navidad 210 CMS 335 Luces,Árbol de navidad de 210 cm con 335 luces integradas.,,390000,,decoracion,activo
SA05,Árbol de Navidad 210 CMS 400 Luces,Árbol de navidad de 210 cm con 400 luces integradas. Alta iluminación.,,590000,,decoracion,activo
SA09,Árbol Nevado 240 CMS 550 Luces,Árbol nevado de 240 cm con 550 luces integradas.,,750000,,decoracion,activo
SA10,Árbol Nevado 270 CMS 900 Luces,Árbol nevado premium de 270 cm con 900 luces integradas.,,990000,,decoracion,activo
SA11,Árbol de Navidad Delgado 240 CMS,Árbol de navidad tipo lápiz (delgado) de 240 cm.,,170000,,decoracion,activo
AZ039,Corona Navideña 30 CMS,Corona navideña decorativa de 30 cm. Ideal para puertas y paredes.,,17000,,decoracion,activo
AZ040,Corona Navideña 90 CMS,Corona navideña decorativa grande de 90 cm.,,22000,,decoracion,activo
AZ030,Guirnalda 300 Tips 2.70 MTS,Guirnalda navideña de 2.70 metros con 300 tips. Ideal para escaleras y chimeneas.,,38000,,decoracion,activo
TD5002B,Pie de Árbol 65 CM Blanco,Base decorativa para árbol de navidad de 65 cm en color blanco. Compatible con árboles 1.8M-2.1M.,,68000,,decoracion,activo
TD5002C,Pie de Árbol 65 CM Café,Base decorativa para árbol de navidad de 65 cm en color café. Compatible con árboles 1.8M-2.1M.,,68000,,decoracion,activo
TD5002G,Pie de Árbol 65 CM Gris,Base decorativa para árbol de navidad de 65 cm en color gris. Compatible con árboles 1.8M-2.1M.,,68000,,decoracion,activo
